MOF_name,"Dos at Fermi energy, eln/cell",Band_gap,"Dos at VBM, eln/cell","Dos at CBM, eln/cell",HSE band gap,LCD,"PLD, Å",Density (g/cm3),Accessible Surface Area (m2/cm3),Accessible Surface Area (m2/g),Volume Fraction,Criteria#,Multiplier_Sum,Space_group#,Space_group,Temp,Zprime,Year,Metal,Metal 2,Metal 3,Metals number,Cell volume,Metal density,Crit: metal,Crit: redox match,Crit: redox active linker,Crit: pi-pi stacking,without ions,2D,1aromatico-up,2aromatici-up,N3--NCN up,benzene,6m-rings,pyridine,pyrimidine,metal-S,metal-O,metal-N,metal-halogen,5m-ring-leg2met,5-m-rings,CN-M,M-h2o,M-H2O-M,M-N-NM-N-M,M-C-C-TRIANG,COOM
GAFVOA,70.3574,0.441602929,70.3574,70.3574,not found,5.21962,4.87311,1.56,631.138,499.617,0.47308,2,1,2,P-1,90,0.5,2008,Cu,,,1,2155.24,0.000463985,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
YIVLIA,70.2124,0.309994257,70.2124,70.2124,not found,1.84163,1.12502,1.912,0,0,0.26216,2,1,14,P21/c,293,1,2009,Cu,,,1,1566.02,0.000638561,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
PUTYAE,67.9396,1.030848566,67.9396,67.9396,not found,5.68489,5.32613,1.892,1632.15,1421.41,0.6133,2,1,62,Pnma,296,0.5,2015,Ag,,,1,1978.824,0.000505351,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
SATWES,50.7703,1.70167638,50.7703,50.7703,not found,0.346667,none,1.701,none,none,none,2,2,15,C2/c,293,0.5,2011,Fe,,,1,3983.9,0.000753031,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
BAKGEB,37.0297,0.186986015,37.0297,37.0297,not found,2.62025,1.43008,1.775,0,0,0.31018,3,1,19,P212121,173,1,2015,Co,,,1,3050.345,0.000983495,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no
KUHXIV,29.7958,1.231306665,29.7958,29.7958,not found,2.17491,1.24604,1.584,0,0,0.32548,3,1,33,Pna21,293,1,2007,Co,,,1,686.183,0.001457337,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
XOSPIF,29.3742,1.243744444,29.3742,29.3742,not found,1.55333,none,2.14,none,none,none,2,1,12,C2/m,295,0.25,1997,Ag,,,1,1081.664,0.000924502,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no
CIDGOO,33.0584,0.000371163,33.0584,33.0584,3.6,not found,not found,not found,not found,not found,not found,0,not found,not found,not found,not found,not found,not found,Cu,,,1,not found,not found,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
LERQAC,28.3172,1.423366242,28.3172,28.3172,not found,2.12921,1.46381,1.463,0,0,0.3309,3,1,61,Pbca,293,1,2014,Co,,,1,856.663,0.00116732,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
PIHNIF,25.4034,0.108185386,25.4034,25.4034,not found,2.97014,1.07043,1.985,0,0,0.28916,2,1,72,Ibam,295,0.25,2002,Ni,,,1,1000.353,0.000999647,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
ULISUF,25.2583,0.107506462,25.2583,25.2583,not found,0.46,none,1.678,none,none,none,3,2,131,P42/mmc,250,0.13,2018,Ni,,,1,1512.54,0.001322279,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
